# index, id, dependencies 
6825,newsgroup-groups.google.com_misc.consumers_a534e32067078b08_ENG_20060116_030800-0001,1-2;1-3;3-5;5-4;5-6,Email: yamwhatiyam <pop...@spinach.eat>
12004,reviews-164805-0002,2-1;2-4;2-7;2-9;2-15;9-8;9-10;9-14;14-11;14-12;14-13;4-3;4-6;6-5,I sent my wife and daughter over to check out a pre-owned 2009 XF.
166,weblog-juancole.com_juancole_20040708181175_ENG_20040708_181175-0004,3-1;3-2;3-7;7-4;7-6;7-10;10-8;10-9;4-5,' Bush fails reporter's pop quiz on international leaders
4892,email-enronsent38_01-0085,1-2,Carol -
6036,newsgroup-groups.google.com_GayMarriage_0ccbb50b41a5830b_ENG_20050321_181500-0015,3-1;3-2;3-4;3-16;3-18;3-30;18-17;18-23;23-19;23-20;23-21;23-22;23-24;23-26;23-28;28-27;28-29;26-25;16-15;4-7;4-14;14-13;7-5;7-6;7-8;7-11;7-12;11-9;11-10,I will email names and email addresses (or postal addresses) of signers to NCRC4ME in time for their “lobby day” in Raleigh on March 15.
3172,email-enronsent40_01-0021,5-1;5-2;5-3;5-4;5-7;5-16;5-20;5-21;20-18;20-19;18-17;7-6;7-8;7-11;11-10;11-12;11-15;15-13;15-14;8-9,Then it's real easy to call Ben Taub to find out a room number.? The address is below.?
4427,email-enronsent35_01-0023,2-1;2-4;2-5;4-3,please try to verify.
9273,answers-20111108110329AAxl1pb_ans-0013,2-1;2-4;2-20;2-21;20-11;20-13;20-15;20-19;15-14;15-18;18-16;18-17;13-12;4-3;4-5;4-10;10-6;10-8;10-9;8-7,"you need to do that for a least a week, or else this type of territorial fighting will happen."
7147,newsgroup-groups.google.com_alt.animals_0084bdc731bfc8d8_ENG_20040905_212000-0188,4-3;3-1;3-2,Second-party endorsements
2649,email-enronsent25_01-0096,1-2,Kay Mann
6112,newsgroup-groups.google.com_civicamerican_22c54c292026bfd2_ENG_20060128_072400-0047,1-3;3-2,http://www.loveallpeople.org/theonereasonwhy.html and http://www.loveallpeople.org/theonereasonwhy.txt
2035,email-enronsent08_02-0043,,Chris
7093,newsgroup-groups.google.com_alt.animals_0084bdc731bfc8d8_ENG_20040905_212000-0134,1-3;1-4;1-5;1-20;5-9;5-17;5-19;19-18;9-6;9-7;9-8;9-16;16-15;15-10;15-13;15-14;13-11;13-12;3-2,"$113m - Amount of total hard money the Bush-Cheney 2000 campaign received, a record."
4277,email-enronsent03_01-0031,2-1,Best regards
9209,answers-20111107211742AAHZaPe_ans-0053,2-1;2-4;2-8;4-3;4-6;6-5;6-7,It depends on what you hunger for.
10276,reviews-127252-0002,3-1;3-2;3-5;3-6;3-12;6-8;6-11;11-9;11-10;8-7;5-4,I've had writer friends describe horror stories with their printers.
2856,email-enronsent11_01-0109,1-2,"Thanks,"
10023,reviews-187875-0002,4-1;4-2;4-3;4-7;4-10;7-5;7-6;7-9;9-8,Can't you make a decent cup of coffee?
9063,answers-20111108103957AAcF3iZ_ans-0019,5-1;5-2;5-3;5-4;5-7;5-8;5-11;5-14;5-20;14-12;14-13;14-17;14-19;19-18;17-15;17-16;8-10;10-9;7-6,"BTW you dont want your leg locked in place, it will move WITH the horse a bit."
3060,email-enronsent15_01-0074,11-4;11-8;11-9;11-10;11-16;11-26;16-12;16-13;16-14;16-15;16-18;18-17;18-20;18-23;23-21;23-22;23-25;25-24;20-19;4-1;4-2;4-3;4-7;7-5;7-6,"If you do add all the entities, does that mean that we would not need to put in place a separate agreement for ECCL?"
5814,newsgroup-groups.google.com_FOOLED_1bf9cdc5a4c2ac48_ENG_20050904_130400-0014,1-2;1-8;1-9;8-3;8-4;8-5;8-6;8-7,Subject: Re: NASA IS A WASTE!
12093,reviews-220214-0007,5-2;5-3;5-4;5-10;5-13;10-6;10-8;10-9;10-12;12-11;8-7;2-1,In general I would say that the staff is attentive and nice.
12007,reviews-164805-0005,2-1;2-3;2-5;2-12;2-16;12-10;12-11;12-15;15-13;15-14;5-4;5-8;8-6;8-7;8-9,He showed me the car I was interested in and we took a test drive.
1495,weblog-blogspot.com_dakbangla_20050311135387_ENG_20050311_135387-0146,10-6;10-7;10-8;10-12;10-17;10-18;10-26;18-20;20-19;20-23;23-21;23-22;23-25;25-24;12-11;12-16;16-13;16-14;16-15;8-9;6-1;6-2;6-5;5-4;4-3,"According to at least some reports, Bin Laden rejected the suggestion of a closer alliance -- preferring to pursue his own concept of jihad."
8700,answers-20111108111107AAlrzok_ans-0010,3-1;3-2;3-4;3-5,How to prevent this ?
12048,reviews-330966-0003,3-1;3-2;3-6;3-8;3-26;3-40;26-9;26-10;26-14;26-21;26-24;26-25;26-29;29-27;29-28;29-31;29-39;39-32;39-33;39-34;39-35;39-38;38-36;38-37;31-30;24-22;24-23;14-11;14-12;14-13;14-17;17-15;17-16;17-20;20-18;20-19;8-7;6-4;6-5,"I have stayed in this hotel many times, and while it typically offers a decent bang for the buck, its client base largely consists of troubled youngsteers and evictees from the local, not so pleasant hood."
